,StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City,Location,District,Latitude,Longitude
40,y7dr,Kai Le Korean Cuisine (Toa Payoh),Japanese,4.7,55,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
41,okb0,Hong Fan Tian Mala Xiang Guo (Toa Payoh Lorong 6) - Islandwide Delivery,Chinese,5.0,2,Singapore,Toa Payoh Lorong 6 Singapore,12.0,1.33839955,103.85157186044839
42,uhtw,OTOU-SAN HOKKAIDO DONBURI (Zhongshan Mall),Japanese,4.5,100,Singapore,Zhongshan Mall Singapore,,1.3272079,103.8464351
43,yinw,WIKEDO WESTERN FOOD (KOUFU HDB HUB),Western,4.4,16,Singapore,KOUFU HDB HUB Singapore,,,
44,pm70,Braddell H.K. Pastries (109 Lorong 1 Toa Payoh),Cakes,4.6,100,Singapore,109 Lorong 1 Toa Payoh Singapore,12.0,1.3412219,103.84635374505879
45,x4oe,Stackz (Zhongshan Mall),Western,4.4,100,Singapore,Zhongshan Mall Singapore,,1.3272079,103.8464351
46,pgmh,ThaiTai 泰太 X brand (20 Ah Hood Rd),Asian,3.0,20,Singapore,20 Ah Hood Rd Singapore,,1.32715435,103.84649169569519
47,d3az,21 on Rajah (Aloft Singapore Novena),Mediterranean,4.4,27,Singapore,Aloft Singapore Novena Singapore,11.0,1.3269777,103.8473659
48,zp32,HanKki (Lor 6 Toa Payoh)- Islandwide Delivery,Korean,4.8,46,Singapore,Lor 6 Toa Payoh Singapore,12.0,,
49,v8un,El Cocinero (Novena),Mexican,4.5,500,Singapore,Novena Singapore,11.0,1.3231845,103.8370863
50,x4wt,La Café & Bar (Royal Square Novena),Western,4.4,100,Singapore,Royal Square Novena Singapore,11.0,1.3207567,103.8430286
51,x2hs,Turkish Kebab (Lorong 6 Toa Payoh),Shawarma,4.3,500,Singapore,Lorong 6 Toa Payoh Singapore,12.0,1.3363167982624686,103.85541327572213
52,w5ov,Bari-Uma Ramen (Novena),Ramen,4.8,100,Singapore,Novena Singapore,11.0,1.3231845,103.8370863
53,v9hj,470 Mini Wok (Lorong 7 Toa Payoh),Chinese,4.6,2000,Singapore,Lorong 7 Toa Payoh Singapore,12.0,1.3366842537296393,103.8569644818215
54,y5kr,Pot Yummy Yummy (480 Toa Payoh Gourmet Paradise By Koufu),Noodles,3.1,19,Singapore,480 Toa Payoh Gourmet Paradise By Koufu Singapore,12.0,,
55,v8xy,ThaiLily Restaurant (Toa Payoh),Thai,3.8,500,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
56,w2sy,Mademoiselle Tang Noodle唐大小姐过桥米线 (Royal Square Novena),Chinese,4.8,1000,Singapore,Royal Square Novena Singapore,11.0,1.3207567,103.8430286
57,xa9p,The Coffee Affaire (Royal Square @ Novena),Coffee,2.4,5,Singapore,Royal Square @ Novena Singapore,11.0,1.3207567,103.8430286
58,z2px,Rice Noodle Queen (Gourmet Paradise HDB Hub),Noodles,3.8,42,Singapore,Gourmet Paradise HDB Hub Singapore,,,
59,s7oz,Sinn Ji Hainanese Chicken Rice (Thomson V),Chicken Rice,4.5,2000,Singapore,Thomson V Singapore,11.0,1.3534286,103.83557399679276
60,sykq,Prawnography Novena Gardens ( THOMSON),Hokkien Mee,3.7,65,Singapore, THOMSON Singapore,11.0,1.3777158,103.8295243
61,t3xm,Chicken Hotpot (Novena),Chinese,4.4,100,Singapore,Novena Singapore,11.0,1.3231845,103.8370863
62,v9eu,Thai'D Me Up (Bukit Timah Road),Thai,4.7,500,Singapore,Bukit Timah Road Singapore,10.0,1.3322848500000002,103.79346285
63,znf1,Steam Rice Kitchen 蒸有米 (Toa Payoh),Asian,4.9,28,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
64,g6ay,SHINCHAN WESTERN FOOD (95 Lor 4 Toa Payoh),Western,4.0,92,Singapore,95 Lor 4 Toa Payoh Singapore,12.0,,
65,t0xx,Aroy Chatuchak (Toa Payoh Central),Chicken,4.5,100,Singapore,Toa Payoh Central Singapore,12.0,1.3353906,103.8497414
66,i1yk,Ton Coffee (10 Sinaran Drive),Vietnamese,4.7,2,Singapore,10 Sinaran Drive Singapore,,1.3206362,103.84418667335355
67,v3pp,Xin Arginoko Japanese & Korean Cuisine (Toa Payoh),Japanese,4.3,100,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
68,zqpm,BBQ Seoul Shokudo (Velocity Novena Square),Korean,3.8,2,Singapore,Velocity Novena Square Singapore,11.0,1.3197981,103.84404339860015
69,x6cl,Fruits & Juices (Koufu 470 TPY),Beverages,4.8,70,Singapore,Koufu 470 TPY Singapore,,,
70,o166,Kim Keat Hokkien Mee (92 Toa Payoh Lorong 4),Hokkien Mee,4.5,12,Singapore,92 Toa Payoh Lorong 4 Singapore,12.0,1.33804655,103.8494301
71,u8lk,Roselio's Kitchen (Toa Payoh),Filipino,4.0,1,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
72,x1zc,Mun Zuk满粥 (Velocity@Novena Square),Porridge,4.5,1000,Singapore,Velocity@Novena Square Singapore,11.0,1.3197981,103.84404339860015
73,g4j2,THREE. by Garamika (Toa Payoh),Grill,5.0,38,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
74,s2ny,Smiths Authentic British Fish & Chips (Bukit Timah Road),Snacks,4.4,1000,Singapore,Bukit Timah Road Singapore,10.0,1.3322848500000002,103.79346285
75,hvrw,Il Piccolo Pizzeria (Toa Payoh Central),Pasta,3.9,100,Singapore,Toa Payoh Central Singapore,12.0,1.3353906,103.8497414
76,bsnj,Mentai-Ya Japanese Cuisine (Toa Payoh Central),Rice Dishes,4.8,100,Singapore,Toa Payoh Central Singapore,12.0,1.3353906,103.8497414
77,m6i4,Maji Curry (10 Sinaran Drive),Japanese,5.0,63,Singapore,10 Sinaran Drive Singapore,,1.3206362,103.84418667335355
78,tcik,FAM Roasted (411 Balestier),Chinese,4.8,36,Singapore,411 Balestier Singapore,12.0,1.32558795,103.84903164972782
79,w1pt,Macpherson Ah Liang BBQ Seafood (Balestier),Seafood,4.0,100,Singapore,Balestier Singapore,12.0,1.326226,103.8473149
80,f1je,Heng Kee Teochew Porridge Rice (Toa Payoh),Chinese,4.6,500,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
81,v8ql,Rochor Beancurd House (Balestier),Dessert,4.7,1000,Singapore,Balestier Singapore,12.0,1.326226,103.8473149
82,v3ii,TungLok Teahouse (Square 2),Chinese,4.5,100,Singapore,Square 2 Singapore,,1.3206362,103.84418667335355
83,v1kj,Lao Beijing (Square 2),Chinese,4.5,100,Singapore,Square 2 Singapore,,1.3206362,103.84418667335355
84,x2om,Meat You Here (Balmoral Plaza),Western,4.6,100,Singapore,Balmoral Plaza Singapore,,1.3164924999999998,103.83545604508063
85,v9ru,Yuet Sing Seafood (Toa Payoh),Chinese,3.9,500,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
86,y7cf,Secret Recipe (HDB Hub),Cakes,4.7,100,Singapore,HDB Hub Singapore,,1.3317686,103.848557
87,p0bg,Ding Ji by Fei Siong Group (Toa Payoh 184),Noodles,4.1,100,Singapore,Toa Payoh 184 Singapore,12.0,1.33257,103.84965604930872
88,nwfg,Xiao Pang Niu Korean (Novena Square),Korean,3.1,47,Singapore,Novena Square Singapore,11.0,1.3199568,103.8436638
89,x7hr,Uncle Fatt (Bukit Timah Road),Fried Rice,4.3,61,Singapore,Bukit Timah Road Singapore,10.0,1.3322848500000002,103.79346285
90,xe2y,Aryan’s Grace Of India @ A Authentic Indian and Lebanese cuisine In Central area - Restaurant Delivery,Indian,1.8,35,Singapore,,,46.3144754,11.0480288
91,k37k,Knockhouse Cafe (Yew Lian Park),Seafood,2.7,11,Singapore,Yew Lian Park Singapore,,1.3956042,103.7520501374193
92,w7kc,Ba Shu Jia Chang Cai (Balestier Market),Chinese,4.7,500,Singapore,Balestier Market Singapore,12.0,1.32558795,103.84903164972782
93,ao9i,Hadya’s Kebab & Grill Corner @ Thomson Road - Restaurant Delivery,Indian,3.4,19,Singapore,,,46.3144754,11.0480288
94,x4ek,R&B Tea (United Square),Bubble Tea,4.7,500,Singapore,United Square Singapore,,1.3172579500000001,103.8436008937355
95,y9lz,Hoshino Coffee (United Square),Japanese,4.5,100,Singapore,United Square Singapore,,1.3172579500000001,103.8436008937355
96,x3gy,VIET LAP (United Square),Pho,3.5,100,Singapore,United Square Singapore,,1.3172579500000001,103.8436008937355
97,dtei,The Clueless Goat Speciality Coffee House (Thomson Road),Coffee,4.3,41,Singapore,Thomson Road Singapore,11.0,1.321708358812433,103.84183590346154
98,wwh2,Royal Spices & Curry Indian Muslim Food (Jalan Pemimpin),Indian,4.3,6,Singapore,Jalan Pemimpin Singapore,,1.347980366273595,103.84075783321418
99,x5vc,Cool Cup (Toa Payoh North),Pancakes and Waffles,4.5,100,Singapore,Toa Payoh North Singapore,12.0,1.3416548000000001,103.8464593736629
100,eh8d,Fatboy's The Burger Bar (Upper Thomson) - Islandwide Delivery,American,4.2,100,Singapore,Upper Thomson Singapore,11.0,1.35463855,103.83251239866786
101,x7qi,Royal Biryani (Novena),Indian,4.1,500,Singapore,Novena Singapore,11.0,1.3231845,103.8370863
102,l9hp,SOD Cafe (Upper Thomson),Western,4.8,100,Singapore,Upper Thomson Singapore,11.0,1.35463855,103.83251239866786
103,v0yq,Hong Kong Day (Goldhill Shopping Centre),Thai,4.5,500,Singapore,Goldhill Shopping Centre Singapore,,1.3187117,103.843508
104,oczz,The Pakistani Briyani & Curry Culture/ Indian & Pakistani Restaurant (159 Thomson Rd) - Restaurant Delivery,Indian,3.3,100,Singapore,159 Thomson Rd Singapore,11.0,1.3180512000000002,103.8436872
105,fhrx,Bombay Bites (Goldhill Shopping Centre) - Restaurant Delivery,Indian,2.4,35,Singapore,Goldhill Shopping Centre Singapore,,1.3187117,103.843508
106,w1bb,Proofer Bakery & Pizzeria (United Square),Pizza,4.6,100,Singapore,United Square Singapore,,1.3172579500000001,103.8436008937355
107,zhio,Fukudon (Koufu @ Novena Square),Rice Dishes,4.6,65,Singapore,Koufu @ Novena Square Singapore,11.0,,
108,t602,New Ubin Seafood (MYMCA Stevens),Chinese,4.2,100,Singapore,MYMCA Stevens Singapore,,,
